Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
59041,59237,CPII,Solar Photovoltaic,PV,S,X,X,20.00,,20.00,20.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
57170,59238,WND2,Onshore Wind Turbine,WT,J,X,X,67.60,,67.60,67.60,0.00,N,OP,X,,,N,X,WND,,,,,,,,,,10M
59045,59239,ESS01,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,0.80,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59881,59240,G1,Landfill Gas,IC,S,X,X,1.50,0.97,1.40,1.40,0.70,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
59881,59240,G2,Landfill Gas,IC,S,X,X,1.50,0.97,1.40,1.40,0.70,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
58801,59241,BROCK,Solar Photovoltaic,PV,S,X,X,3.00,,3.00,3.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58801,59242,BVRLY,Solar Photovoltaic,PV,S,X,X,2.00,,2.00,2.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59063,59248,CCMUA,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56889,59254,GENS1,Landfill Gas,CA,S,N,X,10.00,0.80,8.90,9.90,4.20,N,OP,X,,,N,X,LFG,,,,,,LFG,,,,12H
56889,59254,GENT1,Landfill Gas,CT,S,X,N,6.00,0.80,5.50,6.30,4.20,N,OP,X,,,N,X,LFG,,,,,,LFG,,,,12H
56889,59254,GENT2,Landfill Gas,CT,S,X,N,6.00,0.80,5.50,6.30,4.20,N,OP,X,,,N,X,LFG,,,,,,LFG,,,,12H
56889,59254,GENT3,Landfill Gas,CT,S,X,N,6.00,0.80,5.50,6.30,4.20,N,OP,X,,,N,X,LFG,,,,,,LFG,,,,12H
56889,59254,GENT4,Landfill Gas,CT,S,X,N,6.00,0.80,5.50,6.30,4.20,N,OP,X,,,N,X,LFG,,,,,,LFG,,,,12H
9267,59255,1,Other Gases,IC,S,X,X,3.30,0.80,3.00,3.00,2.30,N,OP,X,,,N,X,OG,,,,,,,,,,10M
9267,59255,2,Other Gases,IC,S,X,X,3.30,0.80,3.00,3.00,2.30,N,OP,X,,,N,X,OG,,,,,,,,,,10M
9267,59255,3,Other Gases,IC,S,X,X,3.30,0.80,3.00,3.00,2.30,N,OP,X,,,N,X,OG,,,,,,,,,,10M
9267,59255,4,Other Gases,IC,S,X,X,3.30,0.80,3.00,3.00,2.30,N,OP,X,,,N,X,OG,,,,,,,,,,10M
14328,59256,BAT1,Batteries,BA,S,X,X,2.00,,2.00,2.00,0.00,N,OP,X,,,N,X,MWH,MWH,,,,,,,,,10M
14328,59257,YB1,Batteries,BA,S,X,X,4.00,,4.00,4.00,0.00,N,OP,X,,,N,X,MWH,,,,,,,,,,10M
59093,59260,HV1,Other Waste Biomass,IC,W,X,X,0.90,0.98,0.70,0.70,0.30,Y,OP,X,,,N,X,OBG,,,,,,,,,,10M
59093,59260,HV2,Other Waste Biomass,IC,W,X,X,0.40,0.98,0.30,0.30,0.30,N,OP,X,,,N,X,OBG,,,,,,,,,,10M
57128,59261,VZ300,Other Natural Gas,FC,W,X,X,1.00,,1.00,1.00,0.00,N,OP,X,,,N,X,NG,,,,,,,,,,OVER
58661,59262,LLRC,Solar Photovoltaic,PV,S,X,X,5.00,1.00,5.00,5.00,5.00,N,OP,X,,,N,X,SUN,,,,,,,,,,
59089,59265,PV8,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59090,59267,PV9,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59091,59268,PV10,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OA,X,,,N,X,SUN,,,,,,,,,,
58661,59269,VMLB2,Solar Photovoltaic,PV,S,X,X,1.50,1.00,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59270,VMLC2,Solar Photovoltaic,PV,S,X,X,1.50,1.00,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59271,VMLD2,Solar Photovoltaic,PV,S,X,X,1.50,1.00,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59272,VMLE2,Solar Photovoltaic,PV,S,X,X,1.50,1.00,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59273,PALME,Solar Photovoltaic,PV,S,X,X,10.00,,10.00,10.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59274,SUTTG,Solar Photovoltaic,PV,S,X,X,5.00,,5.00,5.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58661,59275,STERG,Solar Photovoltaic,PV,S,X,X,1.30,,1.30,1.30,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56990,59277,MED1,Solar Photovoltaic,PV,S,X,X,1.30,,1.30,1.30,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56990,59278,REEV1,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
57128,59279,LFT01,Other Natural Gas,FC,W,X,X,1.10,,1.00,1.00,0.00,N,OP,X,,,N,X,NG,,,,,,,,,,OVER
57128,59280,KLG00,Other Natural Gas,FC,W,X,X,1.10,,1.00,1.00,0.00,N,OP,X,,,N,X,NG,,,,,,,,,,OVER
57128,59281,EBY00,Other Natural Gas,FC,W,X,X,9.80,,9.80,9.80,0.00,Y,OP,X,,,N,X,NG,,,,,,,,,,OVER
57128,59282,BBX00,Other Natural Gas,FC,W,X,X,1.70,,1.60,1.60,0.00,N,OP,X,,,N,X,NG,,,,,,,,,,OVER
58540,59283,W4236,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56622,59284,GE1.7,Onshore Wind Turbine,WT,S,X,X,199.00,,199.00,199.00,0.00,N,OP,X,,,N,X,WND,,,,,,,,,,
59097,59295,NKG1,Onshore Wind Turbine,WT,S,X,X,1.50,,1.50,1.50,0.20,N,OP,X,,,N,X,WND,,,,,,,,,,
59100,59297,CARRI,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59104,59300,HAN1,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59104,59300,HAN2,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58523,59310,GEN1,Landfill Gas,IC,S,X,X,2.00,0.80,1.90,1.90,1.00,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
58523,59310,GEN2,Landfill Gas,IC,S,X,X,2.00,0.80,1.90,1.90,1.00,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
59115,59311,SEIL1,Onshore Wind Turbine,WT,S,X,X,199.00,,199.00,199.00,5.00,N,OP,X,,,N,X,WND,,,,,,,,,,
59115,59312,SEIL2,Onshore Wind Turbine,WT,S,X,X,98.60,,98.60,98.60,5.00,N,OP,X,,,N,X,WND,,,,,,,,,,
56990,59318,NRUN1,Solar Photovoltaic,PV,S,X,X,5.00,,5.00,5.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56990,59319,ROCK1,Solar Photovoltaic,PV,S,X,X,8.00,,8.00,8.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59119,59320,GEN1,Onshore Wind Turbine,WT,S,X,X,200.00,,200.00,200.00,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
59121,59322,GEN1,Solar Photovoltaic,PV,S,X,X,20.00,,20.00,20.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
57081,59323,SMUPV,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59122,59324,MCCO1,Solar Photovoltaic,PV,S,X,X,1.00,,0.60,0.90,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59125,59327,GEN1,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,0.30,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59129,59328,GAC1,Onshore Wind Turbine,WT,W,X,X,1.00,,1.00,1.00,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,10M
59129,59329,SOL1,Onshore Wind Turbine,WT,W,X,X,1.00,,1.00,1.00,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,10M
59129,59330,TAY1,Onshore Wind Turbine,WT,W,X,X,1.00,,1.00,1.00,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,10M
