Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name
56107,Highwoods Properties,54816,Riverwood 100 Building,3350 Riverwood Pkwy,Atlanta,GA,30339,Cobb,33.877500,-84.460300,SERC,SOCO,Southern Company Services Inc. - Trans,,53,NR,4,Commercial Non-CHP,,N,,N,,N,,,X,,Georgia Power Co,7140,GA,480.00,,,
55858,Energy Developments Inc,56867,Roberts Road Power Plant,180 Roberts Road,Fayetteville,GA,30214,FAYETTE,33.487800,-84.440600,SERC,SOCO,Southern Company Services Inc. - Trans,,22,NR,2,IPP Non-CHP,,N,,N,,Y,03-148-000,,X,,Coweta-Fayette El Member Corp,4432,GA,12.47,,,
57359,Richland-Stryker Generation LLC,2881,Stryker,W. Lynn St.,Stryker,OH,43557,WILLIAMS,41.501400,-84.428300,RFC,PJM,PJM Interconnection LLC,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,X,,American Transmission Systems Inc,56162,OH,138.00,,,
3828,Cloverland Electric Co-op,1868,Dafter,2535 W M-28,Dafter,MI,49724,Chippewa,46.374370,-84.417230,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Wells,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,American Transmission Co,659,WI,69.00,,,
57317,Wausau Paper Middletown,57940,Wausau Paper Middletown,700 Columbia Avenue,Middletown,OH,45042,Butler,39.519989,-84.406153,RFC,PJM,PJM Interconnection LLC,Miami River,322,NR,7,Industrial CHP,,N,,N,,N,,Y,Y,OP,Duke Energy Ohio Inc,3542,OH,69.00,,,
5580,East Kentucky Power Coop Inc,56327,Pendleton County LFGTE,1452 Bryan Griffen Road,Butler,KY,41006,Pendleton,38.734218,-84.405901,SERC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,East Kentucky Power Coop Inc,5580,,14.40,,,
59209,Half Moon Ventures LLC,60190,HMW Minster PV I,2768 Minster Fort Recovery Roa,Village of Minster,OH,45865,Auglaize,40.390362,-84.401595,SERC,PJM,PJM Interconnection LLC,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,,,Village of Minster - (OH),12660,OH,12.47,,,
56069,SunCoke Energy Inc.,57822,Middletown Coke Company LLC,3353 Yankee Rd,Middletown,OH,45042,Butler,39.472222,-84.401389,RFC,PJM,PJM Interconnection LLC,Cooling Tower,22,NR,3,IPP CHP,,N,,N,,Y,QF12-94-000,,X,,Duke Energy Ohio Inc,3542,OH,69.00,,,Tenessee Gas Pipeline
18445,City of Tallahassee - (FL),688,Arvah B Hopkins,1125 Geddie Road,Tallahassee,FL,32304,Leon,30.452200,-84.400000,FRCC,TAL,City of Tallahassee,Wells,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of Tallahassee - (FL),18445,FL,230.00,115.00,,Florida Gas Transmission
2439,City of Bryan - (OH),7657,Auglaize Hydro,841 East Edgerton Street,Bryan,OH,43512,Defiance,41.237206,-84.399756,RFC,PJM,PJM Interconnection LLC,Auglaize River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Ohio Power Co,14006,OH,69.00,,,
59365,Capital Power Corporation,59892,Hopeful Solar LLC,Mt. Olive Road and Colonial Ro,Camilla,GA,31370,Mitchell,31.126342,-84.397442,SERC,SOCO,Southern Company Services Inc. - Trans,,22,NR,2,IPP Non-CHP,,N,,N,,N,,N,X,,Mitchell Electric Member Corp,12706,GA,25.00,,,
18452,Turner Properties Inc,54323,CNN Center,190 Marietta St NW,Atlanta,GA,30303,Fulton,33.759167,-84.395000,SERC,SOCO,Southern Company Services Inc. - Trans,,515,NR,4,Commercial Non-CHP,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,19.80,,,Atlanta Gaslight
58472,MAS ASB Cogen LLC,58484,MAS ASB Cogen Plant,3791 Browns Mill Road,Atlanta,GA,30354,Fulton,33.655000,-84.394444,SERC,SOCO,Southern Company Services Inc. - Trans,City of Atlanta,312,NR,6,Industrial Non-CHP,,N,,Y,12-120-000,N,,N,X,,Georgia Power Co,7140,GA,19.80,,,Southern
17069,Shepherd Center,54813,Shepherd Center,2020 Peachtree Road,Atlanta,GA,30309,FULTON,33.811100,-84.392800,SERC,SOCO,Southern Company Services Inc. - Trans,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,X,,Georgia Power Co,7140,GA,480.00,,,Georgia Natural Gas
876,Atlanta Gift Mart LP,54877,Atlanta Gift Mart LP,230 Spring Street,Atlanta,GA,30303,FULTON,33.761100,-84.389200,SERC,SOCO,Southern Company Services Inc. - Trans,,53,NR,4,Commercial Non-CHP,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,480.00,,,
35006,Cousins Properties Inc,54290,Inforum,250 Williams St,Atlanta,GA,30303,FULTON,33.753300,-84.388900,SERC,SOCO,Southern Company Services Inc. - Trans,,53,NR,4,Commercial Non-CHP,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,4.00,,,
17891,City of St Marys - (OH),2942,St Marys,335 North Chestnut,St. Marys,OH,45885,Auglaize,40.545800,-84.388900,RFC,PJM,PJM Interconnection LLC,Grand Lake St Marys,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of St Marys - (OH),17891,OH,12.47,,,Dominion East Ohio Gas
59209,Half Moon Ventures LLC,60299,HMV Minster Energy Storage System,285 N. Ohio St,Village of Minster,OH,45868,Auglaize,40.398844,-84.387266,RFC,PJM,PJM Interconnection LLC,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,,,Village of Minster - (OH),12660,OH,12.47,,,
55858,Energy Developments Inc,56870,Taylor,County Road 33  & Stewart Road,Mauk,GA,31058,Taylor,32.452200,-84.387200,SERC,SOCO,Southern Company Services Inc. - Trans,,22,NR,2,IPP Non-CHP,,N,,N,,Y,03-149-000,,X,,Flint Electric Membership Corp,6411,GA,25.00,,,
